TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
65536,65536,201037,16947
-196608,65536,-134662,16744
196608,-196608,279102,-305496
65536,196608,78274,289362
-196608,-65536,-140139,-107550
65536,196608,23657,210670
196608,196608,243039,231840
-65536,-65536,-27359,22678
65536,-65536,82449,-74514
-65536,-65536,11240,-97006
196608,65536,165175,75633
-65536,-65536,-76449,9377
-196608,-65536,-191039,-75464
-65536,196608,-125603,140901
65536,196608,78775,106720
65536,-196608,-34746,-267858
-65536,196608,-4457,247036
-196608,-65536,-193887,-84241
196608,65536,166219,30093
-65536,196608,-114213,154839
65536,196608,51851,201570
65536,-65536,105689,-79506
-65536,196608,-33581,180674
-65536,196608,-106697,275327
-65536,-65536,-114894,24192
196608,196608,234931,102680
65536,65536,23394,84648
65536,-196608,69031,-241930
65536,196608,72756,182125
196608,65536,214814,83579
-196608,196608,-146537,184198
65536,-196608,-8145,-183163
65536,-65536,-45961,-26275
-196608,-196608,-229713,-179422
196608,196608,301709,158872
-196608,-196608,-78635,-233315
